ticker,fiscal_year,fiscal_period,report_date,revenue,gross_profit,operating_income,pretax_income,net_income,net_income_common,currency
LEDS,2024,FY,2024-08-31,5183000,1053000,-2998000,-2031000,-2036000,-2036000,USD
LEE,2020,FY,2020-09-30,618004000,,55223000,2843000,-1975000,-1975000,USD
LEE,2021,FY,2021-09-30,794649000,,65540000,32047000,22745000,22745000,USD
LEE,2022,FY,2022-09-30,780969000,,51630000,795000,-2017000,-2017000,USD
LEE,2023,FY,2023-09-30,691138000,,45197000,-3082000,-5267000,-5267000,USD
LEG,2020,FY,2020-12-31,4280200000,904100000,414500000,327900000,253000000,253000000,USD
LEG,2021,FY,2021-12-31,5072600000,1038300000,548700000,522100000,402800000,402800000,USD
LEG,2022,FY,2022-12-31,5146700000,976800000,482700000,403600000,310000000,310000000,USD
LEG,2023,FY,2023-12-31,4725300000,853800000,319400000,-173400000,-136800000,-136800000,USD
LEGH,2020,FY,2020-12-31,176724000,67001000,47933000,48822000,37995000,37995000,USD
LEGH,2021,FY,2021-12-31,197507000,83457000,60151000,60627000,49871000,49871000,USD
LEGH,2022,FY,2022-12-31,257015000,106901000,78018000,82148000,67773000,67773000,USD
LEGH,2023,FY,2023-12-31,189144000,89452000,64587000,68736000,54460000,54460000,USD
LEN,2020,FY,2020-11-30,22488854000,3474108000,3140662000,3123788000,2465036000,2465036000,USD
LEN,2021,FY,2021-11-30,27130676000,5567594000,5138258000,5819058000,4430111000,4430111000,USD
LEN,2022,FY,2022-11-30,33671010000,7234402000,6787646000,6014566000,4614125000,4614125000,USD
LESL,2020,FY,2020-09-30,1112229000,460713000,146375000,61188000,58561000,58561000,USD
LESL,2021,FY,2021-09-30,1342917000,595160000,209085000,163129000,126634000,126634000,USD
LESL,2022,FY,2022-09-30,1562120000,673741000,238754000,208117000,159029000,159029000,USD
LESL,2023,FY,2023-09-30,1451209000,548223000,102179000,36741000,27242000,27242000,USD
LESL,2024,FY,2024-09-30,1330121000,476790000,57117000,-13278000,-23379000,-23379000,USD
LEU,2020,FY,2020-12-31,247200000,97600000,52000000,53000000,54400000,5800000,USD
LEU,2021,FY,2021-12-31,298300000,114500000,68300000,135900000,175000000,135300000,USD
LEU,2022,FY,2022-12-31,293800000,117900000,60200000,66300000,50700000,50700000,USD
LEU,2023,FY,2023-12-31,320200000,112100000,56000000,84500000,84400000,84400000,USD
LEVI,2020,FY,2020-11-30,4452600000,2352900000,5300000,-189700000,-127100000,-127100000,USD
LEVI,2021,FY,2021-11-30,5763900000,3346700000,686200000,580200000,553500000,553500000,USD
LEVI,2022,FY,2022-11-30,6168600000,3548800000,667200000,649600000,569100000,569100000,USD
LEVI,2023,FY,2023-11-30,6179000000,3515700000,463800000,265200000,249600000,249600000,USD
LEVI,2024,FY,2024-11-30,6355300000,3815900000,569700000,219000000,210600000,210600000,USD
LFACU,2022,FY,2022-12-31,,,-1543593,2741291,1984300,1984300,USD
LFG,2020,FY,2020-12-31,6523000,1634000,-2737000,-2236000,,,USD
LFG,2021,FY,2021-12-31,77126000,14613000,-29214000,-30921000,-5153000,-5153000,USD
LFMDP,2020,FY,2020-12-31,37293910,28432724,-57372704,-60401851,-58646943,-63362964,USD
LFMDP,2021,FY,2021-12-31,92875806,74880412,-53352924,-61316356,-60897704,-61769180,USD
LFMDP,2022,FY,2022-12-31,119033520,100365492,-36715983,-44660327,-45535659,-48641909,USD
LFMDP,2023,FY,2023-12-31,152547006,133646542,-8428760,-17411057,-20595992,-23702242,USD
LFST,2021,FY,2021-12-31,667511000,,-286353000,-369855000,-343947000,-343947000,USD
LFST,2022,FY,2022-12-31,859542000,,-210174000,-232730000,-215564000,-215564000,USD
LFST,2023,FY,2023-12-31,1055665000,,-189134000,-206583000,-186262000,-186262000,USD
LFT-PA,2020,FY,2020-12-31,,18430514000,9044483000,7973522000,8449770000,8434770000,USD
LFT-PA,2021,FY,2021-12-31,,20678748000,12237785000,10605116000,10527222000,7414722000,USD
LFUS,2020,FY,2020-12-31,1445695000,501172000,204088000,161253000,129986000,129986000,USD
LFUS,2021,FY,2021-12-31,2079928000,771926000,387800000,341025000,283806000,283806000,USD
LFUS,2022,FY,2022-12-31,2513897000,1006913000,510803000,443044000,373306000,373306000,USD
LFUS,2023,FY,2023-12-31,2362657000,900241000,377363000,328598000,259485000,259485000,USD
LFVN,2020,FY,2020-06-30,232915000,194951000,15466000,14661000,11549000,11549000,USD
LFVN,2021,FY,2021-06-30,220181000,181994000,17615000,17232000,12894000,12894000,USD
LFVN,2022,FY,2022-06-30,206360000,168263000,7575000,4691000,3120000,3120000,USD
LFVN,2023,FY,2023-06-30,213398000,170011000,4259000,3999000,2540000,2540000,USD
LFVN,2024,FY,2024-06-30,200164000,158724000,4332000,4350000,2937000,2937000,USD
LGF-B,2019,FY,2020-03-31,3890000000,1663900000,27100000,-185900000,-188400000,-188400000,USD
LGF-B,2020,FY,2021-03-31,3271500000,1545600000,151200000,-11300000,-18900000,-18900000,USD
LGF-B,2021,FY,2022-03-31,3604300000,1540100000,25800000,-177000000,-188200000,-188200000,USD
LGIH,2020,FY,2020-12-31,2367929000,603097000,364710000,367849000,323895000,323895000,USD
LGIH,2021,FY,2021-12-31,3050149000,818034000,547698000,542775000,429645000,429645000,USD
LGIH,2022,FY,2022-12-31,2304455000,646600000,390107000,418116000,326567000,326567000,USD
LGIH,2023,FY,2023-12-31,2358580000,542187000,233255000,261754000,199227000,199227000,USD
LGIQ,2020,FY,2020-12-31,37910393,6363445,-14266028,-14509669,-14509669,-14509669,USD
LGIQ,2021,FY,2021-12-31,37346859,11056656,-20589416,-20114906,-20126787,-20126787,USD
LGL,2020,FY,2020-12-31,31162000,10929000,1415000,1304000,968000,968000,USD
LGL,2021,FY,2021-12-31,1446000,735000,-3521000,16022000,14638000,14638000,USD
LGL,2022,FY,2022-12-31,-2679000,-3516000,-6406000,-6406000,-2992000,-2992000,USD
LGL,2023,FY,2023-12-31,3678000,2882000,646000,646000,269000,269000,USD
